ID,brand,model,proddate,tmckatashi,tmsmodelcode,drivetrain,enginetype,enginedisplay,engine,trans,fuel,seatnumber,vdscode,mvobmaterial
1,TOYOTA,CAMRY,2-1-21,AXVA70R-AEZDBQ,76730,2WD (FF),A25A-FKS,2487,2.5 L4,Auto,Petrol,5,B13HK,2Z76730A0
2,TOYOTA,CAMRY,2-1-21,AXVA70R-AEZDBQ,76730,2WD (FF),A25A-FKS,2487,2.5 L4,Auto,Petrol,5,B13HK,2Z76730A1
